code_insee;code_departement;siren_epci;name;qualified_name;code_insee_parent
13001;13;200054807;Aix-en-Provence;Commune d'Aix-en-Provence
13005;13;200054807;Aubagne;Commune d'Aubagne
13028;13;200054807;La Ciotat;Commune de la Ciotat
13047;13;200054807;Istres;Commune d'Istres
13055;13;200054807;Marseille;Commune de Marseille
13201;13;200054807;Marseille 1er Arrondissement;;13055
13202;13;200054807;Marseille 2e Arrondissement;;13055
13203;13;200054807;Marseille 3e Arrondissement;;13055
13204;13;200054807;Marseille 4e Arrondissement;;13055
13205;13;200054807;Marseille 5e Arrondissement;;13055
13206;13;200054807;Marseille 6e Arrondissement;;13055
13207;13;200054807;Marseille 7e Arrondissement;;13055
13208;13;200054807;Marseille 8e Arrondissement;;13055
13209;13;200054807;Marseille 9e Arrondissement;;13055
13210;13;200054807;Marseille 10e Arrondissement;;13055
13211;13;200054807;Marseille 11e Arrondissement;;13055
13212;13;200054807;Marseille 12e Arrondissement;;13055
13213;13;200054807;Marseille 13e Arrondissement;;13055
13214;13;200054807;Marseille 14e Arrondissement;;13055
13215;13;200054807;Marseille 15e Arrondissement;;13055
13216;13;200054807;Marseille 16e Arrondissement;;13055
13056;13;200054807;Martigues;Commune de Martigues
13103;13;200054807;Salon-de-Provence;Commune de Salon-de-Provence
57017;57;200039865;Amanvillers;Commune d'Amanvillers
57031;57;200039865;Ars-Laquenexy;Commune d’Ars-Laquenexy
57463;57;200039865;Metz;Commune de Metz
59009;59;200093201;Villeneuve-d'Ascq;Commune de Villeneuve-d'Ascq
59350;59;200093201;Lille;Commune de Lille
59512;59;200093201;Roubaix;Commune de Roubaix
59599;59;200093201;Tourcoing;Commune de Tourcoing
64024;64;200067106;Anglet;Commune d'Anglet
64102;64;200067106;Bayonne;Commune de Bayonne
64122;64;200067106;Biarritz;Commune de Biarritz
69123;69;200046977;Lyon
69381;69;200046977;Lyon 1er Arrondissement;;69123
69382;69;200046977;Lyon 2e Arrondissement;;69123
69383;69;200046977;Lyon 3e Arrondissement;;69123
69384;69;200046977;Lyon 4e Arrondissement;;69123
69385;69;200046977;Lyon 5e Arrondissement;;69123
69386;69;200046977;Lyon 6e Arrondissement;;69123
69387;69;200046977;Lyon 7e Arrondissement;;69123
69388;69;200046977;Lyon 8e Arrondissement;;69123
69389;69;200046977;Lyon 9e Arrondissement;;69123
75056;75;200054781;Paris;Commune de Paris
75101;75;200054781;Paris 1er Arrondissement;;75056
75102;75;200054781;Paris 2e Arrondissement;;75056
75103;75;200054781;Paris 3e Arrondissement;;75056
75104;75;200054781;Paris 4e Arrondissement;;75056
75105;75;200054781;Paris 5e Arrondissement;;75056
75106;75;200054781;Paris 6e Arrondissement;;75056
75107;75;200054781;Paris 7e Arrondissement;;75056
75108;75;200054781;Paris 8e Arrondissement;;75056
75109;75;200054781;Paris 9e Arrondissement;;75056
75110;75;200054781;Paris 10e Arrondissement;;75056
75111;75;200054781;Paris 11e Arrondissement;;75056
75112;75;200054781;Paris 12e Arrondissement;;75056
75113;75;200054781;Paris 13e Arrondissement;;75056
75114;75;200054781;Paris 14e Arrondissement;;75056
75115;75;200054781;Paris 15e Arrondissement;;75056
75116;75;200054781;Paris 16e Arrondissement;;75056
75117;75;200054781;Paris 17e Arrondissement;;75056
75118;75;200054781;Paris 18e Arrondissement;;75056
75119;75;200054781;Paris 19e Arrondissement;;75056
75120;75;200054781;Paris 20e Arrondissement;;75056
84089;84;200054807;Pertuis;Commune de Pertuis
