siren;code_departement;nature;name
200039865;57;ME;Metz Métropole
200046977;69;ME;Métropole de Lyon
200054781;;ME;Métropole du Grand Paris
200067106;64;CA;CA du Pays Basque
200067213;51;CU;CU du Grand Reims
200093201;59;ME;Métropole Européenne de Lille
200054807;;ME;Métropole d'Aix-Marseille-Provence
200067254;64;CA;CA Pau Béarn Pyrénées
243000643;30;CA;CA de Nîmes Métropole
242100410;21;ME;Dijon Métropole
243100518;31;ME;Toulouse Métropole
243300316;33;ME;Bordeaux Métropole
243400017;34;ME;Montpellier Méditerranée Métropole
249500109;;CA;CA de Cergy-Pontoise
